id,decision_appeal
1,об оставлении приговора, определения, постановления без изменения, а жалобы или представления без удовлетворения;
2,об отмене обвинительного приговора и вынесении оправдательного приговора;
3,об отмене приговора, определения, постановления суда первой инстанции и о передаче уголовного дела на новое судебное разбирательство;
4,об отмене определения или постановления и о вынесении обвинительного или оправдательного приговора либо иного судебного решения;
5,об отмене приговора, определения, постановления и о возвращении дела прокурору;
6,об отмене приговора, определения, постановления и о прекращении уголовного дела;
7,об изменении приговора или иного обжалуемого судебного решения;
8,о прекращении апелляционного производства.
