id,code,label
1,229.2.1,Ходатайство об исключении доказательства
2,229.2.2,Основания для возвращения дела прокурору
3,229.2.3,Основания для приостановления или прекращения дела
4,229.2.4.1,Ходатайство о проведении заседания без участия подсудимого
5,229.2.5,Решение вопроса о рассмотрении дела с участием присяжных заседателей
6,229.2.6,Наличие приговора с условным осуждением за ранее совершенное преступление
7,229.2.7,Основания для выделения уголовного дела
8,229.2.8,Ходатайство о соединении уголовных дел
9,other,Иные основания по решению судьи
