id,code,label
1,1,Судебно-медицинская
2,2,Судебно-психиатрическая
3,3,Дактилоскопическая
4,4,Трасологическая
5,5,Баллистическая
6,6,Почерковедческая
7,7,Товароведческая
8,8,Строительно-техническая
9,9,Автотехническая
10,10,Экономическая
11,11,Бухгалтерская
12,12,Генетическая
13,13,Психологическая
14,14,Комплексная
15,15,Иная
