id,code,label
1,1,Оставлен без изменения
2,2,Отменен с передачей на новое судебное рассмотрение
3,3,Отменен с прекращением дела
4,4,Изменен
5,5,Отменен с вынесением нового приговора
6,6,Отменен с возвращением дела прокурору
7,7,Отменен с оставлением в силе приговора суда I инстанции
