id,code,label
1,1,судебное решение оставлено без изменения
2,2,судебное решение отменено с передачей дела на новое судебное рассмотрение
3,3,судебное решение отменено с прекращением дела
4,4,судебное решение изменено
5,5,судебное решение отменено с оставлением заявления без рассмотрения
6,6,вынесено новое судебное решение
7,7,производство по делу прекращено
8,8,кассационное производство прекращено
