id,code,label
1,1,о направлении уголовного дела по подсудности
2,2,о назначении предварительного слушания
3,3,о назначении судебного заседания
4,4,о назначении закрытого судебного заседания
5,5,о возвращении уголовного дела прокурору
6,6,о приостановлении производства по делу
7,7,о прекращении уголовного дела
