id,code,label
1,1,Оставлено без изменения
2,2,Отменено с передачей дела на новое рассмотрение
3,3,Отменено с прекращением дела
4,4,Отменено с оставлением заявления без рассмотрения
5,5,Изменено
6,6,Вынесено новое постановление
