id,code,label
1,1,Оставлено без изменений
2,2,Отменено с возвращением на новое рассмотрение
3,3,Производство по делу прекращено
4,4,Заявление оставлено без рассмотрения
5,5,Вынесено новое решение
6,6,Изменено
7,7,Другое судебное постановление с удовлетворением жалобы
