id,code,label
1,1,Постановление вступило в законную силу
2,2,Исполнительный документ направлен по месту работы
3,3,Исполнительный документ направлен в банк
4,4,Исполнительный документ направлен в ФССП
5,5,Исполнительный документ направлен в иное место
6,6,Произведен административный арест
7,7,Конфискация произведена
8,8,Лишение спецправа исполнено
9,9,Производство по исполнению прекращено
10,10,Исполнено полностью
11,11,Не исполнено
