id,code,label
1,1,оставлено без изменения
2,2,отменено с передачей дела на новое рассмотрение
3,3,отменено с прекращением дела
4,4,отменено с оставлением заявления без рассмотрения
5,5,изменено
6,6,вынесено новое судебное решение
