id,code,label
1,1,розыск подсудимого
2,2,психическое заболевание подсудимого
3,3,иное тяжелое заболевание подсудимого
4,4,запрос в Конституционный Суд РФ
5,5,невозможность участия обвиняемого в судебном разбирательстве
6,6,невозможность раздельного судебного разбирательства
7,7,назначение экспертизы
8,8,розыск потерпевшего или свидетеля
