id,code,label
1,1,прокурору
2,2,осужденному
3,3,оправданному
4,4,защитнику
5,5,потерпевшему
6,6,гражданскому истцу
7,7,гражданскому ответчику
8,8,в орган дознания/следствия
9,9,в УИИ
10,10,в СИЗО/колонию
