id,code,label
1,1,неявка подсудимого
2,2,неявка защитника
3,3,неявка прокурора
4,4,неявка потерпевшего
5,5,неявка других участников процесса
6,6,неявка свидетелей
7,7,необходимость истребования новых доказательств
8,8,недоставление подсудимого
9,9,назначение экспертизы
10,10,другие основания
